Data Source,DISTRICT,Variety,Yield
Bhanga RS,Shariatpur,BRRI dhan105,7.380315827
Bhanga RS,Shariatpur,BRRI dhan102,8.585167959
Bhanga RS,Shariatpur,BRRI dhan105,7.881357881
Bhanga RS,Shariatpur,BRRI dhan107,7.995273902
Bhanga RS,Shariatpur,BRRI dhan89,8.34926615
Bhanga RS,Shariatpur,BRRI dhan92,8.47370801
Bhanga RS,Shariatpur,BRRI dhan102,8.562550388
Bhanga RS,Shariatpur,BRRI dhan105,7.296547804
Bhanga RS,Shariatpur,BRRI dhan89,8.62172093
Bhanga RS,Shariatpur,BRRI dhan92,8.036453488
Bhanga RS,Shariatpur,BRRI dhan107,7.447844961
Bhanga RS,Shariatpur,BRRI dhan105,7.470166667
Bhanga RS,Shariatpur,BRRI dhan107,8.177665375
Bhanga RS,Shariatpur,BRRI dhan108,8.220155039
Bhanga RS,Shariatpur,BRRI dhan108,8.149330749
Bhanga RS,Shariatpur,BRRI dhan107,7.478930233
Bhanga RS,Shariatpur,BRRI dhan89,8.403565891
Bhanga RS,Shariatpur,BRRI dhan102,7.83005168
Bhanga RS,Shariatpur,BRRI dhan102,8.178910853
Bhanga RS,Shariatpur,BRRI dhan107,7.444011628
Bhanga RS,Shariatpur,BRRI dhan105,7.85627907
Bhanga RS,Shariatpur,BRRI dhan108,8.177926357
Bhanga RS,Shariatpur,BRRI dhan107,7.916813953
Bhanga RS,Shariatpur,BRRI dhan108,8.143325581
Bhanga RS,Shariatpur,BRRI dhan89,8.237209302
Bhanga RS,Shariatpur,BRRI dhan104,7.336465116
Bhanga RS,Shariatpur,BRRI dhan104,6.974767442
Bhanga RS,Shariatpur,BRRI dhan105,7.644151163
Bhanga RS,Shariatpur,BRRI dhan89,8.124492248
Bhanga RS,Shariatpur,BRRI dhan104,7.204844961
Bhanga RS,Shariatpur,BRRI dhan107,7.546166667
Bhanga RS,Shariatpur,BRRI dhan102,7.743507752
Bhanga RS,Shariatpur,BRRI dhan107,7.672833333
Bhanga RS,Shariatpur,BRRI dhan108,8.296953488
Bhanga RS,Shariatpur,BRRI dhan102,8.346414729
Bhanga RS,Shariatpur,BRRI dhan102,8.105294574
Bhanga RS,Shariatpur,BRRI dhan92,8.479007752
Bhanga RS,Shariatpur,BRRI dhan107,7.701627907
Bhanga RS,Shariatpur,BRRI dhan107,7.687860465
Bhanga RS,Shariatpur,BRRI dhan108,8.076191214
Bhanga RS,Shariatpur,BRRI dhan108,8.319193798
Bhanga RS,Shariatpur,BRRI dhan102,7.605744186
Bhanga RS,Shariatpur,BRRI dhan89,7.96227907
Bhanga RS,Shariatpur,BRRI dhan107,7.122717054
Bhanga RS,Shariatpur,BRRI dhan108,8.5025
Bhanga RS,Shariatpur,BRRI dhan105,7.477533592
Bhanga RS,Shariatpur,BRRI dhan102,7.738751938
